.type fr
.i 9
.o 7
.p 120
100000000 0000000
110001000 0000001
010000100 0000010
000000100 0000011
000001110 0000100
001001110 0000101
101001000 0000110
000001011 0000111
000111011 0001000
010111000 0001001
000001001 0001010
000011001 0001011
001011000 0001100
000101000 0001101
000001000 0001110
010001000 0001111
110000100 0010000
100000100 0010001
100001110 0010010
101001110 0010011
001001000 0010100
100001011 0010101
100111011 0010110
110111000 0010111
100001001 0011000
100011001 0011001
101011000 0011010
100101000 0011011
100001000 0011100
100001100 0011101
110001100 0011110
110000110 0011111
111000110 0100000
011000000 0100001
110000011 0100010
110110011 0100011
100110000 0100100
110000001 0100101
110010001 0100110
111010000 0100111
110100000 0101000
110000000 0101001
010000000 0101010
010001010 0101011
011001010 0101100
111001100 0101101
010001111 0101110
010111111 0101111
000111100 0110000
010001101 0110001
010011101 0110010
011011100 0110011
010101100 0110100
010001100 0110101
000001010 0110110
001001010 0110111
101001100 0111000
000001111 0111001
000111111 0111010
010111100 0111011
000001101 0111100
000011101 0111101
001011100 0111110
000101100 0111111
000001100 1000000
001000000 1000001
101000110 1000010
000000101 1000011
000110101 1000100
010110110 1000101
000000111 1000110
000010111 1000111
001010110 1001000
000100110 1001001
000000110 1001010
100000110 1001011
001000101 1001100
001110101 1001101
011110110 1001110
001000111 1001111
001010111 1010000
000010110 1010001
001100110 1010010
001000110 1010011
101000011 1010100
101110011 1010101
111110000 1010110
101000001 1010111
101010001 1011000
100010000 1011001
101100000 1011010
101000000 1011011
000110000 1011100
010110011 1011101
000000010 1011110
000010010 1011111
001010011 1100000
000100011 1100001
000000011 1100010
010000011 1100011
000110010 1100100
000100010 1100101
001100011 1100110
000010011 1100111
000110011 1101000
010110001 1101001
010100001 1101010
011100000 1101011
010010000 1101100
010110000 1101101
000010000 1101110
001010001 1101111
000100001 1110000
000000001 1110001
001000001 1110010
000110001 1110011
000010001 1110100
001110000 1110101
001010000 1110110
000100000 1110111
.e

